기술지주회사(코드),기준연도,업력년수,설립유형,지역구분,자회사수(신규),자회사 규모,자회사 매출액(평균),자본금 규모 구분,매출액(영업수익),전담인력,총 수입,자회사배당수익,자회사지분매각(일부+전부),투자조합배당수익,국책사업비(정부사업비),"기타 (용역, 컨설팅, 수수료 등)"
A(강원대학교 기술지주),2024,10,단독형,⑥강원,3~5개사,20개이상(40개),1억이상~3억미만,10억이상~20억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,5천만원이상~1억원미만,5천만원이상~1억원미만,0원
AA(동아대학교 기술지주),2024,12,단독형,③부산/울산/경남,3~5개사,20개이상(34개),5억이상~8억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,1천만원이상~5천만원미만,0원,1천만원이상~5천만원미만,0원,3천만원이상~5천만원미만,0원
AB(동의대학교 기술지주),2024,3,단독형,③부산/울산/경남,3~5개사,20개이상(26개),1억이상~3억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,0원
AC,2024,8,단독형,①서울/경기/인천,3~5개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,5천만원이상,0원,3천만원미만,0원
AD,2024,0,단독형,②대전/충남/충북,0개사,10개미만,1억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
AE(부산대학교 기술지주),2024,14,단독형,③부산/울산/경남,0개사,20개이상(37개),5억이상~8억미만,60억이상(82.9억),5억이상~10억미만,9명이상(19명),10억이상~30억미만,0원,0원,1억원이상~5억원미만,5억이상~10억미만,5억이상~10억미만
AF(부산지역대학연합기술지주),2024,9,공동형,③부산/울산/경남,1~2개사,20개이상(44개),8억이상~10억미만,60억이상(162.3억),10억이상~30억미만,9명이상(12명),5억이상~10억미만,0원,5천만원이상,1억원이상~5억원미만,1억원이상~5억원미만,0원
AG,2024,15,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
AH(서강대학교 기술지주),2024,15,단독형,①서울/경기/인천,0개사,10개이상~20개미만,10억이상~15억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
AI(서울대학교 기술지주),2024,16,단독형,①서울/경기/인천,1~2개사,20개이상(47개),10억이상~15억미만,60억이상(200.0억),30억이상,9명이상(13명),10억이상~30억미만,0원,5천만원이상,10억이상,0원,0원
AJ,2024,6,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억이상~20억미만,1억원이상~5억원미만,3~5명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원
AK,2024,12,단독형,①서울/경기/인천,0개사,10개이상~20개미만,3억이상~5억미만,30억이상~40억미만,1천만원미만,3~5명,5억이상~10억미만,0원,0원,0원,5억이상~10억미만,0원
AL,2024,12,단독형,①서울/경기/인천,0개사,10개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
AM,2024,8,단독형,②대전/충남/충북,0개사,10개미만,1억미만,10억미만,1천만원이상~5천만원미만,0명,0원,0원,0원,0원,0원,0원
AN,2024,8,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원
AO,2024,7,단독형,①서울/경기/인천,1~2개사,10개미만,3억이상~5억미만,20억이상~30억미만,1천만원이상~5천만원미만,3~5명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,3천만원미만,5천만원이상~1억원미만,0원
AP,2024,3,단독형,①서울/경기/인천,6~8개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만
