기술지주회사(코드),기준연도,업력년수,설립유형,지역구분,자회사수(신규),자회사 규모,자회사 매출액(평균),자본금 규모 구분,매출액(영업수익),전담인력,총 수입,자회사배당수익,자회사지분매각(일부+전부),투자조합배당수익,국책사업비(정부사업비),"기타 (용역, 컨설팅, 수수료 등)"
A,2023-12-31,9,단독형,⑥강원,9개사 이상,20개이상,5억이상~8억미만,10억이상~20억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,3천만원이상~5천만원미만,5천만원이상~1억원미만,0원
AA,2023-12-31,11,단독형,③부산/울산/경남,3~5개사,20개이상,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,1천만원미만,0원,3천만원미만,0원
AB,2023-12-31,2,단독형,③부산/울산/경남,6~8개사,20개이상,1억이상~3억미만,10억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,0원
AC,2023-12-31,7,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,1천만원이상~5천만원미만,0원,3천만원미만,0원
AE,2023-12-31,13,단독형,③부산/울산/경남,1~2개사,20개이상,5억이상~8억미만,60억이상,10억이상~30억미만,9명이상,30억이상,0원,0원,1억원이상~5억원미만,10억이상,5억이상~10억미만
AF,2023-12-31,8,공동형,③부산/울산/경남,1~2개사,20개이상,8억이상~10억미만,60억이상,10억이상~30억미만,9명이상,10억이상~30억미만,0원,5천만원이상,1억원이상~5억원미만,10억이상,0원
AG,2023-12-31,14,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
AH,2023-12-31,14,단독형,①서울/경기/인천,0개사,10개이상~20개미만,8억이상~10억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
AI,2023-12-31,15,단독형,①서울/경기/인천,1~2개사,20개이상,10억이상~15억미만,60억이상,30억이상,9명이상,10억이상~30억미만,0원,1천만원이상~5천만원미만,10억이상,0원,0원
AJ,2023-12-31,5,단독형,①서울/경기/인천,0개사,10개미만,3억이상~5억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,1천만원이상~5천만원미만,0원,0원,3천만원미만,3천만원이상~5천만원미만,3천만원미만
AK,2023-12-31,11,단독형,①서울/경기/인천,0개사,10개이상~20개미만,5억이상~8억미만,20억이상~30억미만,1천만원미만,3~5명,5억이상~10억미만,0원,0원,0원,5억이상~10억미만,0원
AL,2023-12-31,11,단독형,①서울/경기/인천,0개사,10개미만,8억이상~10억미만,20억이상~30억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,3천만원미만,0원,0원
AM,2023-12-31,7,단독형,②대전/충남/충북,0개사,10개미만,1억미만,10억미만,1천만원이상~5천만원미만,0명,0원,0원,0원,0원,0원,0원
AN,2023-12-31,7,단독형,①서울/경기/인천,0개사,10개미만,1억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,1천만원이상~5천만원미만,3천만원미만,3천만원이상~5천만원미만,0원
AO,2023-12-31,6,단독형,①서울/경기/인천,3~5개사,10개미만,3억이상~5억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,5천만원이상~1억원미만,0원,0원,3천만원미만,5천만원이상~1억원미만,0원
AP,2023-12-31,2,단독형,①서울/경기/인천,6~8개사,10개미만,1억미만,10억이상~20억미만,1천만원이상~5천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만
AQ,2023-12-31,12,공동형,①서울/경기/인천,6~8개사,20개이상,8억이상~10억미만,60억이상,10억이상~30억미만,9명이상,10억이상~30억미만,0원,5천만원이상,5억이상~10억미만,10억이상,0원
AR,2023-12-31,11,단독형,③부산/울산/경남,0개사,10개미만,1억미만,20억이상~30억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,3천만원미만,5천만원이상~1억원미만,0원
AT,2023-12-31,7,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,1억이상~3억미만,20억이상~30억미만,1천만원미만,1~2명,1억원이상~5억원미만,0원,0원,3천만원미만,1억원이상~5억원미만,0원
AU,2023-12-31,5,단독형,③부산/울산/경남,6~8개사,20개이상,3억이상~5억미만,10억이상~20억미만,1천만원미만,0명,5천만원이상~1억원미만,0원,1천만원이상~5천만원미만,0원,3천만원이상~5천만원미만,0원
AV,2023-12-31,14,단독형,①서울/경기/인천,9개사 이상,20개이상,3억이상~5억미만,40억이상~50억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,5천만원이상,0원,0원,3천만원이상~5천만원미만,3천만원이상~5천만원미만
AW,2023-12-31,5,단독형,①서울/경기/인천,1~2개사,10개미만,1억이상~3억미만,10억미만,5천만원이상~1억원미만,0명,5천만원이상~1억원미만,0원,0원,0원,0원,5천만원이상~1억원미만
AX,2023-12-31,12,단독형,⑤광주/전남/전북,9개사 이상,20개이상,3억이상~5억미만,50억이상~60억미만,10억이상~30억미만,9명이상,10억이상~30억미만,0원,1천만원이상~5천만원미만,1억원이상~5억원미만,10억이상,3천만원미만
AY,2023-12-31,11,단독형,⑦제주,1~2개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,3천만원미만
AZ,2023-12-31,3,단독형,⑦제주,0개사,10개미만,1억미만,10억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
B,2023-12-31,14,공동형,⑥강원,1~2개사,20개이상,5억이상~8억미만,10억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1천만원이상~5천만원미만,3천만원미만,1억원이상~5억원미만,1억원이상~5억원미만
BA,2023-12-31,13,단독형,⑤광주/전남/전북,3~5개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,1천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,0원
BB,2023-12-31,0,단독형,④대구/경북,9개사 이상,10개미만,1억이상~3억미만,10억미만,5천만원이상~1억원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,1억원이상~5억원미만
BC,2023-12-31,1,단독형,④대구/경북,9개사 이상,20개이상,3억이상~5억미만,10억미만,5천만원이상~1억원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원미만,0원
BD,2023-12-31,0,단독형,②대전/충남/충북,6~8개사,10개미만,1억미만,10억미만,1천만원이상~5천만원미만,1~2명,1천만원미만,0원,0원,0원,0원,3천만원미만
BE,2023-12-31,10,단독형,③부산/울산/경남,3~5개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,5천만원이상~1억원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,3천만원이상~5천만원미만,0원
BF,2023-12-31,5,단독형,①서울/경기/인천,9개사 이상,20개이상,5억이상~8억미만,60억이상,5억이상~10억미만,6~8명,5억이상~10억미만,0원,1천만원이상~5천만원미만,3천만원이상~5천만원미만,1억원이상~5억원미만,1억원이상~5억원미만
BG,2023-12-31,5,단독형,⑤광주/전남/전북,3~5개사,20개이상,15억이상,10억미만,1천만원이상~5천만원미만,1~2명,5천만원이상~1억원미만,0원,0원,0원,5천만원이상~1억원미만,3천만원미만
BH,2023-12-31,13,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,5천만원이상,3천만원이상~5천만원미만,1억원이상~5억원미만,0원
BI,2023-12-31,9,공동형,④대구/경북,3~5개사,20개이상,5억이상~8억미만,60억이상,1억원이상~5억원미만,6~8명,1억원이상~5억원미만,0원,5천만원이상,1억원이상~5억원미만,3천만원이상~5천만원미만,3천만원미만
BJ,2023-12-31,5,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,5억이상~8억미만,10억이상~20억미만,1천만원미만,1~2명,1천만원이상~5천만원미만,0원,0원,0원,3천만원이상~5천만원미만,0원
BK,2023-12-31,9,단독형,②대전/충남/충북,1~2개사,20개이상,8억이상~10억미만,10억이상~20억미만,1천만원미만,0명,0원,0원,0원,0원,0원,0원
BL,2023-12-31,7,공동형,①서울/경기/인천,9개사 이상,20개이상,5억이상~8억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,1천만원미만,0원,1억원이상~5억원미만,3천만원미만
BM,2023-12-31,2,단독형,①서울/경기/인천,0개사,10개미만,15억이상,50억이상~60억미만,10억이상~30억미만,3~5명,1억원이상~5억원미만,0원,0원,3천만원미만,0원,1억원이상~5억원미만
BN,2023-12-31,3,단독형,④대구/경북,1~2개사,10개미만,1억이상~3억미만,20억이상~30억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,5천만원이상~1억원미만
BO,2023-12-31,5,공동형,⑤광주/전남/전북,3~5개사,20개이상,8억이상~10억미만,30억이상~40억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,5천만원이상,0원,5천만원이상~1억원미만,0원
BP,2023-12-31,12,공동형,⑤광주/전남/전북,0개사,20개이상,15억이상,60억이상,5억이상~10억미만,6~8명,10억이상~30억미만,0원,5천만원이상,1억원이상~5억원미만,1억원이상~5억원미만,0원
BQ,2023-12-31,5,공동형,④대구/경북,0개사,10개미만,3억이상~5억미만,10억미만,1억원이상~5억원미만,3~5명,1억원이상~5억원미만,0원,1천만원미만,0원,1억원이상~5억원미만,0원
BR,2023-12-31,5,단독형,②대전/충남/충북,3~5개사,10개이상~20개미만,5억이상~8억미만,10억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
BS,2023-12-31,4,단독형,⑤광주/전남/전북,0개사,10개이상~20개미만,1억이상~3억미만,10억이상~20억미만,1억원이상~5억원미만,1~2명,1억원이상~5억원미만,0원,1천만원미만,5천만원이상~1억원미만,5천만원이상~1억원미만,3천만원미만
BT,2023-12-31,9,단독형,①서울/경기/인천,1~2개사,10개이상~20개미만,3억이상~5억미만,10억이상~20억미만,1천만원미만,1~2명,0원,0원,0원,0원,0원,0원
BU,2023-12-31,5,단독형,③부산/울산/경남,1~2개사,10개미만,15억이상,10억미만,1천만원이상~5천만원미만,1~2명,1억원이상~5억원미만,0원,0원,0원,5천만원이상~1억원미만,3천만원이상~5천만원미만
